payment_id,order_id,amount,payment_date,payment_method
1,1,6317.68,5/22/2020,venmo
2,2,8529.35,5/8/2021,paypal
3,3,4840.03,4/20/2020,credit card
4,4,7122.6,5/13/2021,credit card
5,5,5775.52,8/18/2020,paypal
6,6,3442.71,4/15/2021,credit card
7,7,8709.16,1/15/2020,paypal
8,8,7140.25,12/2/2021,venmo
9,9,8896.06,12/28/2020,credit card
10,10,304.83,11/29/2022,venmo
11,11,9084.48,10/18/2021,paypal
12,12,6218.77,9/7/2021,paypal
13,13,9361.34,3/14/2020,paypal
14,14,2376.19,2/3/2022,paypal
15,15,8460.3,3/11/2021,credit card
16,16,8898.35,11/5/2021,venmo
17,17,2603.43,10/28/2020,paypal
18,18,8393.36,3/9/2022,credit card
19,19,4519.91,6/13/2020,venmo
20,20,3252.02,12/3/2021,venmo
21,21,836.77,8/8/2020,paypal
22,22,8255.17,10/4/2020,paypal
23,23,8600.0,11/19/2020,paypal
24,24,829.61,9/2/2022,venmo
25,25,2192.15,4/9/2020,paypal
26,26,7162.18,12/24/2021,paypal
27,27,2903.92,11/28/2022,venmo
28,28,6260.91,7/7/2022,credit card
29,29,3492.97,8/28/2020,credit card
30,30,289.93,1/25/2022,venmo
31,31,5418.35,10/18/2022,credit card
32,32,2562.58,7/4/2022,venmo
33,33,7323.77,12/20/2021,credit card
34,34,4622.43,1/21/2022,venmo
35,35,162.4,12/16/2020,venmo
36,36,8225.02,8/8/2022,venmo
37,37,3119.61,8/27/2020,paypal
38,38,2164.56,7/19/2022,paypal
39,39,5070.03,7/29/2020,paypal
40,40,2587.79,2/21/2022,credit card
41,41,3826.27,6/27/2022,venmo
42,42,9006.67,6/15/2021,paypal
43,43,6151.13,11/19/2021,venmo
44,44,2064.05,7/27/2020,paypal
45,45,5552.78,11/25/2021,credit card
46,46,6385.09,9/20/2020,venmo
47,47,6953.19,12/15/2020,credit card
48,48,3606.01,6/3/2020,paypal
49,49,8917.78,8/19/2020,paypal
50,50,2502.11,2/11/2021,paypal
51,51,5187.1,5/21/2020,paypal
52,52,6849.29,5/24/2021,venmo
53,53,4810.5,11/12/2022,paypal
54,54,231.14,7/4/2021,paypal
55,55,8658.89,12/26/2021,venmo
56,56,3286.44,1/1/2022,venmo
57,57,2091.34,2/23/2022,venmo
58,58,7170.8,8/22/2022,paypal
59,59,4276.14,11/23/2020,paypal
60,60,6222.18,8/17/2022,venmo
61,61,3882.28,9/29/2021,paypal
62,62,1779.32,4/17/2020,venmo
63,63,3805.0,11/22/2022,credit card
64,64,1217.88,6/24/2020,venmo
65,65,3616.71,1/9/2020,paypal
66,66,2186.72,2/27/2020,credit card
67,67,1231.51,11/14/2022,paypal
68,68,5785.75,12/8/2020,paypal
69,69,9937.65,10/13/2020,credit card
70,70,8782.8,9/18/2022,credit card
71,71,7930.52,4/30/2022,venmo
72,72,7213.7,12/31/2021,credit card
73,73,5256.0,6/2/2022,venmo
74,74,5163.33,9/5/2020,paypal
75,75,9325.05,11/30/2020,credit card
76,76,8912.43,11/25/2021,venmo
77,77,4274.13,1/3/2021,credit card
78,78,2049.47,12/8/2020,paypal
79,79,4966.65,1/29/2020,paypal
80,80,1454.64,1/3/2022,credit card
81,81,5345.76,7/26/2021,venmo
82,82,39.01,12/23/2022,paypal
83,83,4819.01,6/23/2022,venmo
84,84,7552.64,5/1/2022,credit card
85,85,9309.34,4/13/2021,credit card
86,86,7476.69,7/26/2021,paypal
87,87,8821.8,9/16/2022,paypal
88,88,5913.52,10/12/2022,venmo
89,89,2246.85,11/4/2022,paypal
90,90,3732.05,10/7/2022,credit card
91,91,4415.16,11/2/2021,paypal
92,92,3603.35,7/6/2020,paypal
93,93,3160.52,3/23/2022,paypal
94,94,1759.95,10/30/2021,venmo
95,95,5521.17,8/1/2022,credit card
96,96,7078.51,3/16/2022,credit card
97,97,4250.28,5/14/2020,venmo
98,98,4647.86,8/7/2020,credit card
99,99,538.88,4/16/2022,paypal
100,100,4415.62,10/18/2020,paypal
